# null, year, acm, acn, star, stard, pl, px, rb, part, debasat, debcoll, deb, null, null
# Bin     YDate                 ACM          ACN          Star         StarD        PL           PX           RB           Part         DebASAT      DebColl      Deb          Err          Total
91   1957.24709     0    0    0    0    0    0    0    0    0    0    0    0    0
92   1957.24983     0    0    0    0    0    0    0    0    0    0    0    0    0
93   1957.25257     0    0    0    0    0    0    0    0    0    0    0    0    0
94   1957.2553 0    0    0    0    0    0    0    0    0    0    0    0    0
95   1957.25804     0    0    0    0    0    0    0    0    0    0    0    0    0
96   1957.26078     0    0    0    0    0    0    0    0    0    0    0    0    0
97   1957.26352     0    0    0    0    0    0    0    0    0    0    0    0    0
98   1957.26626     0    0    0    0    0    0    0    0    0    0    0    0    0
99   1957.26899     0    0    0    0    0    0    0    0    0    0    0    0    0
100  1957.27173     0    0    0    0    0    0    0    0    0    0    0    0    0
101  1957.27447     0    0    0    0    0    0    0    0    0    0    0    0    0
102  1957.27721     0    0    0    0    0    0    0    0    0    0    0    0    0
103  1957.27995     0    0    0    0    0    0    0    0    0    0    0    0    0
104  1957.28268     0    0    0    0    0    0    0    0    0    0    0    0    0
105  1957.28542     0    0    0    0    0    0    0    0    0    0    0    0    0
106  1957.28816     0    0    0    0    0    0    0    0    0    0    0    0    0
107  1957.2909 0    0    0    0    0    0    0    0    0    0    0    0    0
108  1957.29363     0    0    0    0    0    0    0    0    0    0    0    0    0
109  1957.29637     0    0    0    0    0    0    0    0    0    0    0    0    0
110  1957.29911     0    0    0    0    0    0    0    0    0    0    0    0    0
111  1957.30185     0    0    0    0    0    0    0    0    0    0    0    0    0
112  1957.30459     0    0    0    0    0    0    0    0    0    0    0    0    0
113  1957.30732     0    0    0    0    0    0    0    0    0    0    0    0    0
114  1957.31006     0    0    0    0    0    0    0    0    0    0    0    0    0
115  1957.3128 0    0    0    0    0    0    0    0    0    0    0    0    0
116  1957.31554     0    0    0    0    0    0    0    0    0    0    0    0    0
117  1957.31828     0    0    0    0    0    0    0    0    0    0    0    0    0
118  1957.32101     0    0    0    0    0    0    0    0    0    0    0    0    0
119  1957.32375     0    0    0    0    0    0    0    0    0    0    0    0    0
120  1957.32649     0    0    0    0    0    0    0    0    0    0    0    0    0
121  1957.32923     0    0    0    0    0    0    0    0    0    0    0    0    0
122  1957.33196     0    0    0    0    0    0    0    0    0    0    0    0    0
123  1957.3347 0    0    0    0    0    0    0    0    0    0    0    0    0
124  1957.33744     0    0    0    0    0    0    0    0    0    0    0    0    0
125  1957.34018     0    0    0    0    0    0    0    0    0    0    0    0    0
126  1957.34292     0    0    0    0    0    0    0    0    0    0    0    0    0
127  1957.34565     0    0    0    0    0    0    0    0    0    0    0    0    0
128  1957.34839     0    0    0    0    0    0    0    0    0    0    0    0    0
129  1957.35113     0    0    0    0    0    0    0    0    0    0    0    0    0
130  1957.35387     0    0    0    0    0    0    0    0    0    0    0    0    0
131  1957.35661     0    0    0    0    0    0    0    0    0    0    0    0    0
132  1957.35934     0    0    0    0    0    0    0    0    0    0    0    0    0
133  1957.36208     0    0    0    0    0    0    0    0    0    0    0    0    0
134  1957.36482     0    0    0    0    0    0    0    0    0    0    0    0    0
135  1957.36756     0    0    0    0    0    0    0    0    0    0    0    0    0
136  1957.37029     0    0    0    0    0    0    0    0    0    0    0    0    0
137  1957.37303     0    0    0    0    0    0    0    0    0    0    0    0    0
138  1957.37577     0    0    0    0    0    0    0    0    0    0    0    0    0
139  1957.37851     0    0    0    0    0    0    0    0    0    0    0    0    0
140  1957.38125     0    0    0    0    0    0    0    0    0    0    0    0    0
141  1957.38398     0    0    0    0    0    0    0    0    0    0    0    0    0
142  1957.38672     0    0    0    0    0    0    0    0    0    0    0    0    0
143  1957.38946     0    0    0    0    0    0    0    0    0    0    0    0    0
144  1957.3922 0    0    0    0    0    0    0    0    0    0    0    0    0
